"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","10","Проверка разных текстов на процент спама","","2026-04-13","passed","2026-04-13","","","",""
"","1","должен обрабатывать текст с переносами строк","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","151","только пробелы","chromium","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > негативные сценарии (пустой текст)","main-flow.spec.js","",""
"","1","должен обработать пустой список без ошибок","checkSpam","2026-04-13","passed","2026-04-13","Пустой список слов","Интеграция с ConfigService","",""
"","387","пустая строка","firefox","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > негативные сценарии (пустой текст)","main-flow.spec.js","",""
"","1","должен выбросить ошибку если список запрещенных слов не массив","checkSpam","2026-04-13","passed","2026-04-13","","Негативные сценарии","",""
"","612","одно слово из стоп-листа","webkit","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > разное количество запрещённых слов (data-driven)","main-flow.spec.js","",""
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","10","Проверка разных текстов на процент спама","","2026-04-13","passed","2026-04-13","","","",""
"","1","должен обрабатывать текст из одного слова (спам)","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","1","должен обрабатывать текст с табуляциями","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","2","должен вернуть 100% для текста, состоящего только из спама","checkSpam","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","616","только пробелы","webkit","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > негативные сценарии (пустой текст)","main-flow.spec.js","",""
"","456","без спама","firefox","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > разное количество запрещённых слов (data-driven)","main-flow.spec.js","",""
"","471","игнорирование регистра: СПАМ и спам дают одинаковый процент","firefox","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI)","main-flow.spec.js","",""
"","0","должен вернуть 0% если список запрещенных слов пуст","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","10","должен вернуть 0% для текста без спама","checkSpam","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","14","должен выбросить ошибку для пустого текста","checkSpam","2026-04-13","passed","2026-04-13","","Негативные сценарии","",""
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","16","Текст содержит одно запрещённое слово — корректный процент","","2026-04-13","passed","2026-04-13","","","",""
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","152","Успешная проверка текста с расчётом процента спама","","2026-04-13","passed","2026-04-13","","","",""
"","907","игнорирование регистра: СПАМ и спам дают одинаковый процент","webkit","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI)","main-flow.spec.js","",""
"","3","должен загрузить список из ConfigService и использовать его для проверки","checkSpam","2026-04-13","passed","2026-04-13","Загрузка списка из ConfigService","Интеграция с ConfigService","",""
"","193","без спама","chromium","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > разное количество запрещённых слов (data-driven)","main-flow.spec.js","",""
"","1","должен игнорировать регистр (СПАМ и spam считаются одинаково)","checkSpam","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","1","должен обрабатывать множественные вхождения одного слова","checkSpam","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","1","должен выбросить ошибку для undefined","checkSpam","2026-04-13","passed","2026-04-13","","Негативные сценарии","",""
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","12","Проверка разных текстов на процент спама","","2026-04-13","passed","2026-04-13","","","",""
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","14","Проверка разных текстов на процент спама","","2026-04-13","passed","2026-04-13","","","",""
"","2","должен выбросить ошибку для null","checkSpam","2026-04-13","passed","2026-04-13","","Негативные сценарии","",""
"","186","одно слово из стоп-листа","chromium","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > разное количество запрещённых слов (data-driven)","main-flow.spec.js","",""
"","1","должен обработать таймаут при загрузке словаря","checkSpam","2026-04-13","passed","2026-04-13","Таймаут при загрузке","Интеграция с ConfigService","",""
"","1","должен вызывать getBlacklist с правильными параметрами","checkSpam","2026-04-13","passed","2026-04-13","Верификация взаимодействия с ConfigService","Интеграция с ConfigService","",""
"","1","должен обработать ошибку сервера при загрузке","checkSpam","2026-04-13","passed","2026-04-13","Таймаут при загрузке","Интеграция с ConfigService","",""
"","1","не должен вызывать getBlacklist если список передан явно","checkSpam","2026-04-13","passed","2026-04-13","Верификация взаимодействия с ConfigService","Интеграция с ConfigService","",""
"Система должна определить процент спама в сообщении на основе стоп-листа запрещённых слов.","14","Игнорирование регистра слов при проверке","","2026-04-13","passed","2026-04-13","","","",""
"","1","должен обработать ошибку сети при загрузке","checkSpam","2026-04-13","passed","2026-04-13","Таймаут при загрузке","Интеграция с ConfigService","",""
"","1881","позитивный сценарий: текст с известным спамом — процент и выделение","webkit","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI)","main-flow.spec.js","",""
"","2","должен работать с разными списками слов из ConfigService","checkSpam","2026-04-13","passed","2026-04-13","Разные списки слов (Mock)","Интеграция с ConfigService","",""
"","1","должен вернуть 0% если ConfigService вернул пустой список","checkSpam","2026-04-13","passed","2026-04-13","Пустой список слов","Интеграция с ConfigService","",""
"","1","должен обрабатывать текст из одного слова (не спам)","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","1","должен обрабатывать текст с множественными пробелами","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","236","игнорирование регистра: СПАМ и спам дают одинаковый процент","chromium","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI)","main-flow.spec.js","",""
"","1","должен выбросить ошибку для текста только из пробелов","checkSpam","2026-04-13","passed","2026-04-13","","Негативные сценарии","",""
"","1","должен загрузить список только один раз при множественных вызовах","checkSpam","2026-04-13","passed","2026-04-13","Загрузка списка из ConfigService","Интеграция с ConfigService","",""
"","684","последовательные действия: список слов загружен, затем проверка сообщения","webkit","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI)","main-flow.spec.js","",""
"","4","должен обрабатывать очень длинный текст","checkSpam","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","199","последовательные действия: список слов загружен, затем проверка сообщения","chromium","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI)","main-flow.spec.js","",""
"","393","несколько стоп-слов","firefox","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > разное количество запрещённых слов (data-driven)","main-flow.spec.js","",""
"","184","несколько стоп-слов","chromium","2026-04-13","passed","2026-04-13","Проверка текста на спам (UI) > разное количество запрещённых слов (data-driven)","main-flow.spec.js","",""
"","2","должен возвращать тот же промис при одновременных вызовах","checkSpam","2026-04-13","passed","2026-04-13","Загрузка списка из ConfigService","Интеграция с ConfigService","",""
"","1","должен вернуть правильный процент для частичного спама","checkSpam","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
